frame,time_s,vehicle_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence
9,0.3,6,car,261.4,614.5,520.5,719.9,391.0,667.2,0.748
9,0.3,8,car,680.2,311.5,707.5,334.5,693.9,323.0,0.502
9,0.3,9,car,1117.3,549.0,1280.0,674.6,1198.6,611.8,0.671
9,0.3,10,car,500.2,321.1,534.2,350.9,517.2,336.0,0.49
9,0.3,7,car,223.9,426.0,312.8,482.0,268.4,454.0,0.533
10,0.333,1,car,756.1,439.5,830.6,511.6,793.4,475.6,0.773
10,0.333,2,car,394.7,400.9,449.9,448.6,422.3,424.7,0.713
10,0.333,3,car,915.9,488.4,1015.7,573.7,965.8,531.0,0.716
10,0.333,4,car,539.0,356.7,575.9,391.9,557.4,374.3,0.655
10,0.333,5,truck,759.3,275.3,820.7,338.0,790.0,306.6,0.689
10,0.333,6,car,263.9,607.3,527.7,718.8,395.8,663.1,0.81
10,0.333,8,car,680.6,311.6,708.3,335.0,694.4,323.3,0.581
10,0.333,9,car,1125.5,560.4,1280.0,690.7,1202.8,625.6,0.764
10,0.333,7,car,231.4,425.2,317.8,479.7,274.6,452.4,0.567
11,0.367,1,car,758.9,446.2,837.0,522.2,797.9,484.2,0.79
11,0.367,2,car,398.6,399.5,453.5,446.6,426.0,423.0,0.772
11,0.367,3,car,925.7,499.4,1030.7,589.6,978.2,544.5,0.675
11,0.367,4,car,539.0,354.6,577.0,390.9,558.0,372.7,0.68
11,0.367,5,truck,759.4,275.7,821.8,339.5,790.6,307.6,0.693
11,0.367,6,car,266.6,598.2,536.8,717.2,401.7,657.7,0.771
11,0.367,8,car,681.5,313.1,710.5,337.5,696.0,325.3,0.506
11,0.367,9,car,1135.9,577.1,1280.0,710.9,1207.9,644.0,0.716
11,0.367,7,car,238.3,423.9,322.3,476.9,280.3,450.4,0.662
12,0.4,1,car,764.2,454.6,844.4,532.9,804.3,493.8,0.846
12,0.4,2,car,400.7,397.7,454.7,444.0,427.7,420.9,0.816
12,0.4,3,car,937.9,512.1,1049.3,608.0,993.6,560.0,0.731
12,0.4,4,car,539.5,353.2,577.7,389.5,558.6,371.3,0.738
12,0.4,5,truck,758.9,276.1,823.6,342.0,791.2,309.0,0.571
12,0.4,6,car,276.5,589.7,538.5,710.0,407.5,649.8,0.739
12,0.4,8,car,681.9,314.2,712.5,339.9,697.2,327.1,0.66
12,0.4,9,car,1156.1,593.7,1280.0,717.8,1218.1,655.8,0.547
12,0.4,7,car,241.8,421.0,324.5,473.0,283.2,447.0,0.63
12,0.4,13,car,449.7,319.8,487.8,342.3,468.7,331.1,0.528
12,0.4,10,car,502.4,320.6,534.6,348.8,518.5,334.7,0.453
13,0.433,1,car,766.4,459.1,854.9,546.3,810.7,502.7,0.772
13,0.433,2,car,402.0,395.7,454.7,440.7,428.3,418.2,0.776
13,0.433,3,car,952.0,525.1,1070.9,627.9,1011.4,576.5,0.778
13,0.433,4,car,540.2,352.1,578.1,388.0,559.1,370.0,0.71
13,0.433,5,truck,758.8,276.9,824.9,343.8,791.9,310.4,0.611
13,0.433,6,car,289.6,580.8,536.4,698.8,413.0,639.8,0.768
13,0.433,8,car,681.7,315.0,714.4,342.5,698.1,328.7,0.72
13,0.433,7,car,247.1,418.5,328.8,470.0,287.9,444.2,0.631
13,0.433,13,car,449.6,319.1,489.1,342.5,469.3,330.8,0.485
14,0.467,1,car,772.6,471.1,863.5,561.1,818.0,516.1,0.773
14,0.467,2,car,403.4,393.9,455.6,438.4,429.5,416.2,0.804
14,0.467,3,car,966.7,539.9,1096.2,652.3,1031.5,596.1,0.738
14,0.467,4,car,541.6,351.4,578.7,386.5,560.2,369.0,0.709
14,0.467,5,truck,759.3,278.1,826.1,345.3,792.7,311.7,0.544
14,0.467,6,car,303.7,573.0,532.5,686.8,418.1,629.9,0.7
14,0.467,8,car,681.9,315.8,715.5,344.0,698.7,329.9,0.636
14,0.467,7,car,252.1,415.5,332.7,466.5,292.4,441.0,0.711
15,0.5,1,car,775.1,475.9,866.7,566.8,820.9,521.3,0.77
15,0.5,2,car,403.8,393.3,455.9,437.7,429.8,415.5,0.807
15,0.5,3,car,972.7,545.7,1105.9,661.7,1039.3,603.7,0.733
15,0.5,4,car,542.0,351.1,579.1,386.1,560.5,368.6,0.709
15,0.5,5,truck,759.4,278.5,826.7,345.8,793.1,312.1,0.549
15,0.5,6,car,311.6,570.2,528.3,682.1,419.9,626.1,0.701
15,0.5,8,car,681.9,316.1,715.8,344.6,698.8,330.3,0.633
15,0.5,7,car,253.9,414.5,333.9,465.2,293.9,439.9,0.708
16,0.533,1,car,780.4,483.7,877.4,580.3,828.9,532.0,0.526
16,0.533,2,car,405.2,392.7,456.5,436.1,430.8,414.4,0.725
16,0.533,3,car,987.2,560.1,1127.3,682.5,1057.3,621.3,0.664
16,0.533,4,car,543.0,350.6,580.2,385.7,561.6,368.2,0.724
16,0.533,5,truck,760.7,279.5,828.3,346.5,794.5,313.0,0.537
16,0.533,6,car,320.7,563.2,528.7,674.7,424.7,618.9,0.719
16,0.533,8,car,682.4,317.5,715.8,345.7,699.1,331.6,0.597
16,0.533,7,car,256.9,413.2,336.2,463.6,296.5,438.4,0.7
16,0.533,13,car,452.8,319.0,490.1,341.0,471.4,330.0,0.471
17,0.567,1,car,785.8,493.2,887.0,594.5,836.4,543.9,0.617
17,0.567,2,car,407.3,392.1,457.6,434.6,432.5,413.3,0.715
17,0.567,3,car,1007.5,579.3,1154.4,708.4,1080.9,643.8,0.646
17,0.567,4,car,543.9,349.9,581.0,384.8,562.5,367.3,0.718
17,0.567,5,truck,765.1,281.8,831.7,347.3,798.4,314.5,0.451
17,0.567,6,car,334.1,557.7,524.6,663.2,429.4,610.4,0.753
17,0.567,8,car,682.9,319.0,717.4,348.3,700.2,333.7,0.586
17,0.567,7,car,259.1,411.1,339.9,462.8,299.5,436.9,0.754
17,0.567,13,car,453.5,318.7,490.7,340.8,472.1,329.8,0.502
18,0.6,1,car,790.8,504.4,898.1,612.6,844.4,558.5,0.703
18,0.6,2,car,408.5,390.3,459.0,432.8,433.7,411.6,0.591
18,0.6,3,car,1042.3,601.1,1184.3,720.0,1113.3,660.6,0.586
18,0.6,4,car,544.2,348.8,581.1,383.4,562.7,366.1,0.664
18,0.6,5,truck,766.7,280.7,836.3,349.1,801.5,314.9,0.56
18,0.6,6,car,345.1,550.9,522.7,652.3,433.9,601.6,0.686
18,0.6,8,car,683.8,319.8,719.9,350.7,701.8,335.2,0.536
18,0.6,7,car,264.3,409.0,343.0,459.6,303.6,434.3,0.758
18,0.6,13,car,453.9,318.0,492.0,340.8,473.0,329.4,0.47
19,0.633,1,car,797.0,517.2,911.8,633.8,854.4,575.5,0.74
19,0.633,2,car,410.9,387.9,461.9,430.8,436.4,409.4,0.591
19,0.633,3,car,1071.2,627.2,1193.1,720.0,1132.1,673.6,0.721
19,0.633,4,car,544.4,347.7,581.5,382.5,563.0,365.1,0.66
19,0.633,5,truck,767.1,280.2,839.5,351.4,803.3,315.8,0.536
19,0.633,6,car,353.0,543.1,522.3,642.8,437.6,593.0,0.673
19,0.633,8,car,685.3,322.4,720.2,352.0,702.8,337.2,0.653
19,0.633,7,car,269.1,408.3,343.9,456.7,306.5,432.5,0.642
20,0.667,1,car,804.0,528.1,928.9,656.4,866.4,592.3,0.568
20,0.667,2,car,413.0,384.6,465.4,429.0,439.2,406.8,0.64
20,0.667,3,car,1108.4,656.2,1202.1,720.0,1155.3,688.1,0.464
20,0.667,4,car,544.7,346.5,582.1,381.6,563.4,364.0,0.656
20,0.667,5,truck,768.0,280.2,842.5,353.5,805.3,316.8,0.523
20,0.667,6,car,361.4,536.2,521.9,633.5,441.7,584.9,0.675
20,0.667,8,car,686.7,323.8,722.0,353.7,704.4,338.7,0.672
20,0.667,7,car,272.1,405.3,347.0,454.1,309.5,429.7,0.591
20,0.667,10,car,510.0,314.4,543.2,343.5,526.6,328.9,0.471
21,0.7,1,car,807.1,532.5,935.2,665.3,871.1,598.9,0.561
21,0.7,2,car,413.9,383.5,466.5,428.4,440.2,405.9,0.631
21,0.7,3,car,1119.2,665.1,1204.8,720.0,1162.0,692.5,0.463
21,0.7,4,car,544.9,346.1,582.2,381.3,563.6,363.7,0.655
21,0.7,5,truck,768.4,280.2,843.6,354.2,806.0,317.2,0.519
21,0.7,6,car,365.8,533.8,520.4,630.3,443.1,582.1,0.678
21,0.7,8,car,687.3,324.3,722.6,354.3,704.9,339.3,0.674
21,0.7,7,car,273.5,404.2,348.2,453.2,310.8,428.7,0.593
21,0.7,16,bus,767.3,281.3,842.3,352.5,804.8,316.9,0.493
21,0.7,10,car,510.3,314.2,543.7,343.3,527.0,328.8,0.472
22,0.733,1,car,814.4,546.1,948.2,686.3,881.3,616.2,0.684
22,0.733,2,car,416.5,382.4,467.8,426.2,442.1,404.3,0.66
22,0.733,4,car,545.3,345.4,582.4,380.4,563.9,362.9,0.636
22,0.733,5,truck,769.4,280.8,845.1,355.1,807.2,317.9,0.492
22,0.733,6,car,372.4,529.0,521.4,624.5,446.9,576.7,0.63
